#,プロジェクト,トラッカー,親チケット,親チケットの題名,ステータス,優先度,題名,作成者,担当者,更新日,カテゴリ,対象バージョン,開始日,期日,予定工数,合計予定工数,作業時間,合計作業時間,進捗率,作成日,終了日,最終更新者,関連するチケット,ファイル,プライベート
48,Git,タスク,"","",新規,通常,test2,大平 洸,大平 洸,2023/03/04 17:49,"","",2023/03/04,2023/03/15,"","",0.00,0.00,0,2023/03/04 16:06,"",大平 洸,"","",いいえ
47,Git,タスク,"","",新規,通常,test,大平 洸,大平 洸,2023/03/04 17:52,"","",2023/03/06,2023/03/06,0.00,0.00,0.00,0.00,0,2023/03/04 16:05,"",大平 洸,"","",いいえ
44,Git,タスク,"","",新規,通常,git講座,大平 洸,大平 洸,2023/03/04 17:44,"","",2023/03/04,2023/03/11,24.00,24.00,0.00,0.00,0,2023/03/04 15:03,"",大平 洸,"","",いいえ
5,Git,タスク,"","",新規,通常,スライド作成,大平 洸,大平 洸,2023/03/04 17:44,"","",2023/03/04,2023/03/11,12.00,12.00,0.00,0.00,0,2023/02/18 15:31,"",大平 洸,"","",いいえ
